Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1549301825000,00:07:80:db:63:52,-91,TVHub-170401873,-76.94047865,38.98722283,3,[ESS],,12412
1549298218000,00:15:ff:fc:16:4b,-65,Verizon-4GLTE-BRV-164B,-76.93827839,38.98095687,19,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549301825000,00:1a:dd:04:cc:ec,-85,MCI-1117,-76.94047865,38.98722283,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,-5180
1549297502000,00:21:29:ac:a1:16,-83,,-76.93724307,38.99011973,6,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,32422
1549301706000,00:21:29:d4:f9:00,-84,Hedwig,-76.94212813,38.98650914,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1549301105000,00:23:69:bc:40:e0,-82,linksys,-76.94179769,38.98436813,3,[ESS][WPS],,62437
1549301466000,00:2a:10:3d:c4:71,-76,eduroam,-76.94517395,38.98499362,3,[WPA2-EAP-CCMP][ESS],,12412
1549301329000,00:2a:10:3d:cd:a0,-77,umd,-76.94387761,38.9835339,7,[ESS],,12412
1549301329000,00:2a:10:3d:cd:a3,-78,umd-util2,-76.94387761,38.9835339,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549301466000,00:2a:10:5b:65:83,-78,umd-util2,-76.94517395,38.98499362,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,62437
1549301466000,00:2a:10:5b:65:8d,-82,umd-secure,-76.94517395,38.98499362,3,[WPA2-EAP-CCMP][ESS],,-5745
1549301466000,00:2a:10:5b:65:8e,-81,eduroam,-76.94517395,38.98499362,3,[WPA2-EAP-CCMP][ESS],,-5745
1549301329000,00:2a:10:5b:76:b4,-69,umd-guest,-76.94387761,38.9835339,7,[ESS],,12412
1549301329000,00:2a:10:5b:76:bb,-79,umd-guest,-76.94387761,38.9835339,7,[ESS],,-5180
1549301329000,00:2a:10:5b:76:bc,-80,umd-util2,-76.94387761,38.9835339,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5180
1549301329000,00:2a:10:5b:76:bd,-76,umd-secure,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,-5180
1549301329000,00:2a:10:5b:76:be,-79,eduroam,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,-5180
1549301329000,00:2a:10:5b:76:bf,-80,umd,-76.94387761,38.9835339,7,[ESS],,-5180
1549297480000,00:2a:10:5b:7b:71,-73,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,112462
1549297480000,00:2a:10:5b:7b:73,-74,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549297480000,00:2a:10:5b:7b:74,-74,umd-guest,-76.93725279,38.99054927,3,[ESS],,112462
1549297480000,00:2a:10:5b:7b:7b,-88,umd-guest,-76.93725279,38.99054927,3,[ESS],,-5320
1549297480000,00:2a:10:5b:7b:7c,-89,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1549297480000,00:2a:10:5b:7b:7d,-88,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5320
1549297480000,00:2a:10:5b:7b:7e,-88,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5320
1549297480000,00:2a:10:5b:7b:7f,-86,umd,-76.93725279,38.99054927,3,[ESS],,-5320
1549297480000,00:2c:c8:d6:35:84,-83,umd-guest,-76.93725279,38.99054927,3,[ESS],,12412
1549302066000,00:2c:c8:f8:48:21,-89,eduroam,-76.94069788,38.99074343,4,[WPA2-EAP-CCMP][ESS],,112462
1549301706000,00:6b:f1:a7:56:c2,-84,umd-secure,-76.94212813,38.98650914,3,[WPA2-EAP-CCMP][ESS],,112462
1549301706000,00:6b:f1:a7:56:c3,-85,umd-util2,-76.94212813,38.98650914,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549297480000,00:81:c4:14:0c:21,-90,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,62437
1549297480000,00:81:c4:14:0c:22,-89,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,62437
1549297480000,00:81:c4:14:0c:23,-89,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,62437
1549297480000,00:81:c4:14:0c:24,-89,umd-guest,-76.93725279,38.99054927,3,[ESS],,62437
1549297480000,00:81:c4:14:17:a4,-87,umd-guest,-76.93725279,38.99054927,3,[ESS],,12412
1549301466000,00:81:c4:14:42:00,-75,umd,-76.94517395,38.98499362,3,[ESS],,12412
1549301466000,00:81:c4:14:42:0b,-84,umd-guest,-76.94517395,38.98499362,3,[ESS],,-5745
1549302187000,00:81:c4:40:f0:ef,-91,umd,-76.93839088,38.99130146,4,[ESS],,-5280
1549301346000,00:81:c4:40:f3:50,-80,umd,-76.94423874,38.9835221,3,[ESS],,12412
1549301346000,00:81:c4:40:f3:51,-80,eduroam,-76.94423874,38.9835221,3,[WPA2-EAP-CCMP][ESS],,12412
1549301346000,00:81:c4:40:f3:52,-79,umd-secure,-76.94423874,38.9835221,3,[WPA2-EAP-CCMP][ESS],,12412
1549301346000,00:81:c4:40:f3:53,-80,umd-util2,-76.94423874,38.9835221,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549301346000,00:81:c4:40:f3:54,-78,umd-guest,-76.94423874,38.9835221,3,[ESS],,12412
1549301329000,00:f6:63:1a:79:61,-71,eduroam,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,62437
1549301329000,00:f6:63:1a:79:62,-70,umd-secure,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,62437
1549301329000,00:f6:63:1a:79:63,-69,umd-util2,-76.94387761,38.9835339,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,62437
1549301329000,00:f6:63:1a:79:6b,-72,umd-guest,-76.94387761,38.9835339,7,[ESS],,-5805
1549301329000,00:f6:63:1a:79:6c,-72,umd-util2,-76.94387761,38.9835339,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5805
1549301329000,00:f6:63:1a:79:6d,-70,umd-secure,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,-5805
1549301329000,00:f6:63:1a:79:6e,-71,eduroam,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,-5805
1549301329000,00:f6:63:1a:79:6f,-70,umd,-76.94387761,38.9835339,7,[ESS],,-5805
1549301329000,00:f6:63:6f:c9:42,-84,umd-secure,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,62437
1549301466000,00:f6:63:70:0c:92,-81,umd-secure,-76.94517395,38.98499362,3,[WPA2-EAP-CCMP][ESS],,12412
1549301466000,00:f6:63:70:0c:9b,-88,umd-guest,-76.94517395,38.98499362,3,[ESS],,-5200
1549297480000,00:f6:63:70:8f:f0,-67,umd,-76.93725279,38.99054927,3,[ESS],,112462
1549297480000,00:f6:63:70:8f:fb,-73,umd-guest,-76.93725279,38.99054927,3,[ESS],,-5220
1549297480000,00:f6:63:70:8f:fc,-74,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5220
1549297480000,00:f6:63:70:8f:fd,-74,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5220
1549297480000,00:f6:63:70:8f:fe,-73,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5220
1549297480000,00:f6:63:70:8f:ff,-72,umd,-76.93725279,38.99054927,3,[ESS],,-5220
1549297480000,00:f6:63:70:95:e1,-87,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,112462
1549297480000,00:f6:63:70:95:e2,-86,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,112462
1549297480000,00:f6:63:70:95:eb,-88,umd-guest,-76.93725279,38.99054927,3,[ESS],,-5260
1549297480000,00:f6:63:70:95:ec,-89,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5260
1549297480000,00:f6:63:70:ba:8b,-89,umd-guest,-76.93725279,38.99054927,3,[ESS],,-5320
1549297480000,00:f6:63:70:ba:8c,-90,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1549297480000,00:f6:63:70:ba:8d,-90,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5320
1549297480000,00:f6:63:70:c8:f2,-90,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,62437
1549301346000,00:f6:63:70:cb:c1,-75,eduroam,-76.94423874,38.9835221,3,[WPA2-EAP-CCMP][ESS],,12412
1549301346000,00:f6:63:70:cb:c3,-74,umd-util2,-76.94423874,38.9835221,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549301329000,00:f6:63:70:cb:cb,-84,umd-guest,-76.94387761,38.9835339,7,[ESS],,-5320
1549301329000,00:f6:63:70:cb:cc,-81,umd-util2,-76.94387761,38.9835339,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1549301329000,00:f6:63:70:cb:cd,-81,umd-secure,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,-5320
1549301329000,00:f6:63:70:cb:ce,-81,eduroam,-76.94387761,38.9835339,7,[WPA2-EAP-CCMP][ESS],,-5320
1549301329000,00:f6:63:70:cb:cf,-83,umd,-76.94387761,38.9835339,7,[ESS],,-5320
1549301225000,00:f6:63:70:cc:61,-80,eduroam,-76.94323792,38.98347554,3,[WPA2-EAP-CCMP][ESS],,12412
1549301225000,00:f6:63:70:cc:63,-81,umd-util2,-76.94323792,38.98347554,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549301225000,00:f6:63:70:cc:64,-82,umd-guest,-76.94323792,38.98347554,3,[ESS],,12412
1549297502000,00:f6:63:70:cc:db,-90,umd-guest,-76.93724307,38.99011973,6,[ESS],,-5320
1549297502000,00:f6:63:70:cc:dc,-88,umd-util2,-76.93724307,38.99011973,6,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1549297502000,00:f6:63:70:cc:dd,-88,umd-secure,-76.93724307,38.99011973,6,[WPA2-EAP-CCMP][ESS],,-5320
1549297502000,00:f6:63:70:cc:de,-89,eduroam,-76.93724307,38.99011973,6,[WPA2-EAP-CCMP][ESS],,-5320
1549297502000,00:f6:63:70:cc:df,-88,umd,-76.93724307,38.99011973,6,[ESS],,-5320
1549301105000,00:f6:63:72:bc:21,-87,eduroam,-76.94179769,38.98436813,3,[WPA2-EAP-CCMP][ESS],,112462
1549297480000,00:f6:63:a3:3c:d1,-72,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,62437
1549297480000,00:f6:63:a3:3c:d2,-72,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,62437
1549297480000,00:f6:63:a3:3c:d3,-73,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,62437
1549297480000,00:f6:63:a3:3c:d4,-73,umd-guest,-76.93725279,38.99054927,3,[ESS],,62437
1549297480000,00:f6:63:a3:3c:db,-74,umd-guest,-76.93725279,38.99054927,3,[ESS],,-5200
1549297480000,00:f6:63:a3:3c:dc,-75,umd-util2,-76.93725279,38.99054927,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5200
1549297480000,00:f6:63:a3:3c:dd,-75,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5200
1549297480000,00:f6:63:a3:3c:de,-75,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,-5200
1549297480000,00:f6:63:a3:3c:df,-75,umd,-76.93725279,38.99054927,3,[ESS],,-5200
1549297480000,00:f6:63:b1:ef:20,-84,umd,-76.93725279,38.99054927,3,[ESS],,12412
1549297480000,00:f6:63:b1:ef:21,-84,eduroam,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,12412
1549297480000,00:f6:63:b1:ef:22,-84,umd-secure,-76.93725279,38.99054927,3,[WPA2-EAP-CCMP][ESS],,12412
